customer_id,industry,company_size,geography,subscription_tier,tenure_months,mrr,billing_frequency,discount_used,payment_delays,daily_active_users,feature_adoption_rate,avg_session_length,time_to_value_days,open_support_tickets,avg_resolution_time_hours,nps_score,support_sentiment,last_login_days,logins_last_7_days,logins_last_30_days,churn,engagement_delta,inactivity_streak,support_friction_index
CUST0001,Retail,Small,India,Basic,36,1270.65,Annual,0,5,79,0.49,47.46,16,4,78.49,12,-0.43,36,8,111,0,-19.75,29,313.96
CUST0002,Education,Small,USA,Basic,47,127.69,Annual,0,0,85,0.62,46.42,42,9,27.35,45,0.47,14,26,94,0,2.5,7,246.15
CUST0003,Finance,Large,India,Basic,41,1295.63,Monthly,1,4,52,0.21,15.16,54,4,10.74,70,-0.78,14,4,108,0,-23,7,42.96
CUST0004,Education,Medium,Canada,Basic,5,1949.01,Monthly,1,2,56,0.75,11.14,14,8,36.8,-89,0.5,51,1,65,1,-15.25,44,294.4
CUST0005,Education,Small,UK,Basic,13,158.21,Monthly,0,2,76,0.34,12.87,13,9,27.71,-98,-0.91,42,21,109,0,-6.25,35,249.39
CUST0006,Healthcare,Large,India,Basic,23,1118.28,Monthly,0,5,68,0.68,10.89,41,3,66.69,19,-0.6,4,14,51,0,1.25,0,200.07
CUST0007,Finance,Medium,Canada,Enterprise,58,1500.63,Monthly,0,3,9,0.2,55.65,7,0,43.53,34,0.58,27,8,102,0,-17.5,20,0
CUST0008,Finance,Small,India,Basic,50,1624.31,Monthly,1,1,92,0.7,19.29,12,9,115.95,33,0.49,32,18,100,0,-7,25,1043.55
CUST0009,Finance,Medium,India,Professional,30,839.38,Monthly,0,0,23,0.17,24.13,37,4,115.66,-19,-0.05,10,9,13,0,5.75,3,462.64
CUST0010,Education,Large,UK,Basic,37,424.25,Annual,0,3,63,0.45,17.27,50,0,53.8,-56,-0.9,42,3,72,0,-15,35,0
CUST0011,Retail,Small,Australia,Basic,25,103.84,Annual,0,3,61,0.28,86.29,4,5,95.62,26,0.22,5,9,73,1,-9.25,0,478.1
CUST0012,Finance,Medium,Australia,Enterprise,48,1167.86,Monthly,0,5,40,0.76,77.21,2,9,2.58,-15,-0.19,22,26,62,0,10.5,15,23.22
CUST0013,Education,Small,India,Enterprise,27,916.76,Annual,1,0,44,0.3,22.28,35,9,66.19,14,-0.37,39,7,70,0,-10.5,32,595.71
CUST0014,Healthcare,Medium,USA,Professional,51,1898.51,Monthly,0,2,86,0.89,30.83,58,6,89.45,66,0.28,1,21,27,1,14.25,0,536.7
CUST0015,Retail,Large,Canada,Professional,14,140,Monthly,0,1,24,0.9,20.47,44,0,26.82,78,-0.13,14,12,109,0,-15.25,7,0
CUST0016,Healthcare,Large,USA,Enterprise,57,1377.08,Monthly,0,2,51,0.24,45.29,3,9,8.28,-92,-0.82,22,6,88,0,-16,15,74.52
CUST0017,Retail,Small,USA,Enterprise,48,69.43,Monthly,0,3,58,0.63,3.73,4,3,19.55,50,0.83,21,6,45,0,-5.25,14,58.65
CUST0018,Education,Medium,India,Basic,59,359.44,Monthly,0,1,90,0.13,61.08,38,8,53.58,-89,0.56,8,3,27,0,-3.75,1,428.64
CUST0019,Technology,Small,India,Enterprise,47,918.09,Monthly,1,4,94,0.42,48.04,12,0,61.26,15,-0.89,46,14,1,0,13.75,39,0
CUST0020,Retail,Small,India,Professional,54,920.65,Annual,1,3,33,0.73,81.08,19,8,46.33,-13,0.05,39,11,16,0,7,32,370.64
CUST0021,Healthcare,Medium,India,Basic,36,1377.69,Annual,0,2,16,0.68,16.47,10,7,53.36,-39,-0.83,29,15,58,0,0.5,22,373.52
CUST0022,Education,Medium,Australia,Professional,39,1822.22,Monthly,0,2,22,0.64,72.76,1,4,56.96,3,0.67,15,5,51,0,-7.75,8,227.84
CUST0023,Retail,Medium,India,Basic,16,1285.28,Annual,1,5,57,0.32,71.69,17,5,92.56,-28,0.23,58,27,3,0,26.25,51,462.8
CUST0024,Technology,Large,Australia,Enterprise,56,1908,Monthly,0,2,62,0.41,13.19,16,6,13.52,-24,-0.66,45,8,76,0,-11,38,81.12
CUST0025,Technology,Small,Australia,Professional,22,1765.6,Monthly,0,0,82,0.15,37.07,9,3,92.51,-61,-0.96,46,2,81,0,-18.25,39,277.53
CUST0026,Finance,Small,India,Basic,21,1177.31,Monthly,1,3,71,0.73,16.97,57,5,82.95,81,-0.94,51,7,2,0,6.5,44,414.75
CUST0027,Finance,Large,UK,Basic,54,1670.91,Monthly,1,1,90,0.53,24.42,53,6,89.26,34,0.01,29,6,114,0,-22.5,22,535.56
CUST0028,Healthcare,Medium,Canada,Enterprise,21,1292.3,Monthly,1,2,72,0.72,25.17,9,5,88.4,-84,0.47,44,3,36,0,-6,37,442
CUST0029,Retail,Large,USA,Enterprise,8,175.54,Monthly,1,5,70,0.29,50.95,59,5,57,18,-0.76,8,25,96,0,1,1,285
CUST0030,Retail,Large,Australia,Enterprise,49,1486.32,Monthly,1,5,30,0.36,38.2,55,1,26.16,25,-0.56,0,12,104,0,-14,0,26.16
CUST0031,Finance,Large,Canada,Professional,16,207.92,Annual,0,2,23,0.37,85.4,9,4,64.86,77,-0.35,58,18,23,0,12.25,51,259.44
CUST0032,Retail,Small,UK,Basic,59,1196.28,Monthly,0,0,32,0.07,13.12,12,2,115,-77,-0.56,37,29,71,1,11.25,30,230
CUST0033,Retail,Large,USA,Enterprise,55,1411.23,Monthly,0,5,86,0.37,87.68,55,6,71.03,-99,-0.22,7,6,34,0,-2.5,0,426.18
CUST0034,Technology,Small,USA,Professional,31,151.72,Monthly,0,1,57,0.81,22.3,41,3,2.31,-9,0.12,58,9,1,0,8.75,51,6.93
CUST0035,Finance,Small,Australia,Professional,42,476.97,Monthly,0,3,9,0.9,70.01,15,0,8.11,60,0.37,58,24,32,1,16,51,0
CUST0036,Education,Small,India,Professional,10,1833.03,Monthly,0,4,31,0.54,31.83,2,5,119.15,48,0.93,51,11,75,0,-7.75,44,595.75
CUST0037,Finance,Medium,UK,Enterprise,32,1240.3,Annual,0,0,71,0.48,14.59,11,5,9.56,16,0.86,17,25,85,0,3.75,10,47.8
CUST0038,Education,Small,Australia,Enterprise,59,507.65,Monthly,0,5,9,0.08,77.49,11,6,6.48,-48,0.14,26,2,76,0,-17,19,38.88
CUST0039,Technology,Small,UK,Basic,34,1387.55,Monthly,0,3,13,0.89,29.18,8,7,43.01,-55,0.47,17,25,9,0,22.75,10,301.07
CUST0040,Healthcare,Medium,India,Basic,9,1201.62,Monthly,0,4,58,0.06,59.98,55,2,116.35,-56,0.9,31,24,80,0,4,24,232.7
CUST0041,Retail,Small,India,Enterprise,17,1013.12,Monthly,0,2,3,0.95,51.85,32,5,38.92,-92,-0.83,57,28,61,0,12.75,50,194.6
CUST0042,Technology,Large,Australia,Professional,11,1952.85,Monthly,1,2,35,0.51,43.51,6,9,49.78,-95,-0.99,48,23,42,0,12.5,41,448.02
CUST0043,Retail,Large,India,Professional,32,1373.24,Monthly,0,1,97,0.37,45.63,53,1,76.46,-50,-0.94,31,11,68,0,-6,24,76.46
CUST0044,Healthcare,Small,Canada,Professional,10,763.37,Annual,0,4,21,0.93,66.44,20,8,3.87,18,0.13,52,18,58,0,3.5,45,30.96
CUST0045,Healthcare,Medium,USA,Basic,22,1604.15,Monthly,1,2,64,0.07,9.72,39,1,107.83,-66,0.53,47,14,8,0,12,40,107.83
CUST0046,Technology,Large,Australia,Professional,57,1771.47,Monthly,0,2,95,0.6,60.8,35,2,62.81,-19,-0.27,44,7,76,0,-12,37,125.62
CUST0047,Healthcare,Medium,UK,Basic,17,267.94,Monthly,0,5,52,0.57,80.83,8,9,56.55,80,0.09,53,11,59,0,-3.75,46,508.95
CUST0048,Education,Medium,Canada,Basic,4,417.09,Monthly,0,1,34,0.26,7.09,50,1,103.43,46,0.03,35,19,62,0,3.5,28,103.43
CUST0049,Healthcare,Large,Australia,Professional,48,448.13,Monthly,0,3,96,0.46,14.38,49,8,114.42,96,-0.81,35,5,51,0,-7.75,28,915.36
CUST0050,Retail,Medium,India,Professional,52,1388.6,Annual,1,2,35,0.67,65.06,43,0,51.39,-76,-0.36,20,27,22,0,21.5,13,0
CUST0051,Retail,Large,India,Enterprise,47,1214.02,Monthly,0,0,15,0.74,40.48,34,4,21.52,38,-0.96,45,9,29,0,1.75,38,86.08
CUST0052,Retail,Medium,India,Enterprise,25,1245.6,Monthly,1,0,96,0.05,37.51,57,0,98.07,-84,-0.78,31,1,42,0,-9.5,24,0
CUST0053,Retail,Large,India,Professional,59,1882.73,Monthly,0,3,6,0.94,14.05,53,4,48.99,-65,0.62,30,23,118,0,-6.5,23,195.96
CUST0054,Education,Small,UK,Basic,21,1556.3,Monthly,0,4,85,0.21,46.6,59,7,112.33,-5,0.66,36,12,67,0,-4.75,29,786.31
CUST0055,Finance,Large,Canada,Basic,37,273.32,Monthly,0,1,97,0.27,13.14,56,7,114.04,-80,0.6,15,24,20,0,19,8,798.28
CUST0056,Technology,Large,USA,Basic,38,708.06,Monthly,0,5,32,0.3,43.94,19,7,14.66,-83,0.45,45,6,42,0,-4.5,38,102.62
CUST0057,Retail,Large,UK,Basic,49,882.08,Monthly,0,0,52,0.09,69.2,7,1,114.83,87,0.59,45,7,72,0,-11,38,114.83
CUST0058,Healthcare,Large,UK,Basic,1,804,Monthly,0,0,83,0.17,24.73,31,7,44.82,45,0.34,13,22,6,0,20.5,6,313.74
CUST0059,Retail,Medium,USA,Enterprise,25,1345.23,Annual,0,3,97,0.99,44.31,18,4,77.9,-100,0.34,56,15,15,0,11.25,49,311.6
CUST0060,Healthcare,Small,USA,Professional,51,1785.95,Monthly,0,4,28,0.35,89.3,40,0,5.14,41,0.33,23,10,22,0,4.5,16,0
CUST0061,Healthcare,Large,India,Enterprise,36,625.98,Monthly,0,4,95,0.16,62.43,14,6,106.78,35,0.03,24,25,57,1,10.75,17,640.68
CUST0062,Retail,Medium,UK,Basic,17,1112.72,Monthly,1,3,85,0.15,76.04,39,5,77.35,93,-0.27,45,3,86,0,-18.5,38,386.75
CUST0063,Education,Small,Australia,Basic,41,1583.03,Monthly,0,0,98,0.73,38.51,60,4,77.58,-50,0.46,50,16,30,0,8.5,43,310.32
